Date,City,State,Listed in FBI SHR (2009-2012),TOTAL SHOT (Not Including Shooter),Number Killed [CALCULATED],Number Injured,Females Killed,Males Killed,Children Killed (17 and Under),Shooter Suicide,Handgun,Assault Weapon,Other,Unknown,Shooter 1 Name,Shooter 1 Age,Shooter 1 Gender,Shooter 1 Prohibited,Shooter 2 Name,Shooter 2 Age,Shooter 2 Gender,Shooter 2 Prohibited,Shooter 3 Name,Shooter 3 Age,Shooter 3 Gender,Shooter 3 Prohibited,Prohibited shooter,"Shot Current/ Former Intimate Partner, Including Marriage",Shot Current/Former Partner by Marriage,Shooter/Victim Had Children In Common,Killed Other Family,Previous DV Arrest or DV Restraining Order,Prior history of DV,Notes on DV history,Killed Intimate Partner or Family [CALCULATED] ,Law Enforcement Directly Threatened,Law Enforcement Injured/Killed,Home,School,Workplace,Multiple,Other (Note),Solely Home But Not DV [CALCULATED],Red Flag,Subsequent FBI Terrorism Investigation,Public Space,Gun-Free Zone,Took place exclusively in private residence(s)
1/27/09,Wilmington,CA,Yes,6,6,0,4,2,5,Yes,1,0,0,0,Ervin Lupoe,40,Male,No, ,,,,,,,,No,Yes,Yes,Yes,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
2/14/09,Brockport,NY,No,5,4,1,2,2,0,No,1,0,0,0,Frank Garcia,34,Male,No, ,,,,,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,Yes,Yes,,No,Yes,No,Yes,No,no
3/5/09,Cleveland,OH,Yes,5,5,0,3,2,3,Yes,1,0,0,0,Davon Crawford,33,Male,Yes, ,,,,,,,,Yes,Yes,Yes,Yes,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
3/10/09,Geneva County,AL,No,16,10,6,6,4,2,Yes,2,1,1,0,Michael Kenneth McLendon,28,Male,No, ,,,,,,,,No,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,Yes,Driving,No,No,No,Yes,No,no
3/12/09,Conover,NC,Yes,5,5,0,4,1,1,Yes,0,0,0,1,Chiew Chan Saevang,38,Male,No, ,,,,,,,,No,Yes,No,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,Yes,"Home, car",No,No,No,No,No,no
3/15/09,Miami,FL,No,4,4,0,3,1,0,Yes,1,0,0,0,Guillermo Lopez,49,Male,No, ,,,,,,,,No,Yes,Yes,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
3/21/09,East Oakland,CA,Yes,5,4,1,0,4,0,No,1,1,0,0,Lovelle Mixon,26,Male,Yes, ,,,,,,,,Yes,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,No,No,No,No,,No,Yes,No,Yes,No,no
3/29/09,Santa Clara,CA,Yes,6,5,1,3,2,3,Yes,2,0,0,0,Devan Kalathat,45,Male,No, ,,,,,,,,No,Yes,Yes,Yes,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
3/29/09,Carthage,NC,Yes,11,8,3,5,3,0,No,2,0,1,0,Robert Stewart,45,Male,No, ,,,,,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Nursing Home,No,No,No,Yes,No,no
4/3/09,Binghamton,NY,Yes,17,13,4,11,2,0,Yes,2,0,0,0,Jiverly A. Wong,42,Male,No, ,,,,,,,,No,No,No,No,No,Unknown,Unknown,,No,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,no
4/4/09,Graham,WA,Yes,5,5,0,4,1,5,Yes,0,0,1,0,James Harrison,34,Male,No, ,,,,,,,,No,No,No,No,Yes,Unknown,Yes,abused children,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
4/6/09,Green Hill,AL,No,4,4,0,3,1,2,Yes,1,0,0,0,Kevin Garner,45,Male,No, ,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,"in divorce proceedings, estranged wife alleged physical and emotional abuse",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
4/19/09,Middletown,MD,Yes,4,4,0,2,2,3,Yes,1,0,1,0,Christopher Alan Wood,34,Male,No, ,,,,,,,,No,Yes,Yes,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
6/22/09,Kansas City,KS,Yes,4,4,0,3,1,1,No,0,0,0,1,Adrian Burks,37,Male,Yes, ,,,,,,,,Yes,Yes,No,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
8/27/09,Lawrenceville,GA,Yes,5,4,1,3,1,1,No,0,0,0,1,Richard Ringold,44,Male,No, ,,,,,,,,No,Yes,No,No,No,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
11/1/09,Mount Airy,NC,Yes,4,4,0,0,4,0,No,0,1,0,0,Marcos Chavez Gonzalez,29,Male,Yes, ,,,,,,,,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,No,No,No,No,Parking Lot,No,No,No,Yes,No,no
11/5/09,Fort Hood,TX,No,45,13,32,3,10,0,No,2,0,0,0,Nidal Malik Hasan,39,Male,No, ,,,,,,,,No,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,No,No,Yes,No,Fort Hood army base,No,No,Yes,Yes,Yes,no
11/9/09,Oklahoma City,OK,No,4,4,0,3,1,0,No,2,0,0,0,Denny Edward Phillips,34,Male,Yes,David Allen Tyner,31,Male,No,Jonathan Allen Cochran,,Male,Yes,Yes,No,No,No,No,Unknown,Unknown,,No,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
11/12/09,Pearcy,AR,Yes,6,5,1,2,3,0,No,3,0,0,0,Samuel Conway,23,Male,No,Marvin Lamar Stringer,22,Male,No,Jeremy Pickney,23,Male,No,No,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,Yes,No,No,No,,No,No,No,No,No,yes
11/26/09,Jupiter,FL,No,6,4,2,4,0,1,No,1,0,0,0,Paul Merhige,35,Male,Yes, ,,,, ,,,,Yes,No,No,No,Yes,Unknown,Unknown,,Yes,No,No,Yes,No,No,No,,No,No,No,No,No,yes
11/28/09,Osage,KS,Yes,4,4,0,4,0,1,No,0,1,0,0,James Kahler,46,Male,No, ,,,, ,,,,No,Yes,Yes,Yes,No,Yes,Yes,"misdemeanor DV charge, wife alleged past abuse",Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
11/29/09,Lakewood,WA,Yes,4,4,0,1,3,0,No,2,0,0,0,Maurice Clemmons,37,Male,Yes, ,,,, ,,,,Yes,No,No,No,No,Unknown,Unknown,,No,Yes,Yes,No,No,No,No,Cafe,No,Yes,No,Yes,No,no
12/3/09,Madison,WI,No,4,4,0,4,0,2,Yes,2,0,0,0,Tyrone Adair,38,Male,Yes, ,,,, ,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Adair got in a fight with one of the victims; charges were referred to DA but not filed,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,yes
