,TOTAL SHOT (Not Including Shooter),Number Killed [CALCULATED],Number Injured,Females Killed,Males Killed,Children Killed (17 and Under),idx
0,4.0,296.0,0.0,149.0,147.0,85.0,74
1,5.0,156.0,14.0,82.0,74.0,43.0,34
2,6.0,84.0,18.0,45.0,39.0,30.0,17
3,7.0,34.0,8.0,20.0,14.0,11.0,6
4,8.0,71.0,17.0,34.0,37.0,18.0,11
5,9.0,48.0,15.0,28.0,20.0,3.0,7
6,10.0,12.0,8.0,1.0,11.0,2.0,2
7,11.0,12.0,10.0,7.0,5.0,0.0,2
8,12.0,5.0,7.0,0.0,5.0,0.0,1
9,15.0,16.0,14.0,3.0,13.0,0.0,2
10,16.0,10.0,6.0,6.0,4.0,2.0,1
11,17.0,13.0,4.0,11.0,2.0,0.0,1
12,18.0,9.0,9.0,3.0,6.0,0.0,1
13,19.0,6.0,13.0,3.0,3.0,1.0,1
14,27.0,9.0,18.0,0.0,9.0,0.0,1
15,29.0,27.0,2.0,19.0,8.0,20.0,1
16,36.0,14.0,22.0,5.0,9.0,0.0,1
17,45.0,13.0,32.0,3.0,10.0,0.0,1
18,46.0,26.0,20.0,,,,1
19,82.0,12.0,70.0,4.0,8.0,1.0,1
20,102.0,49.0,53.0,7.0,42.0,0.0,1
21,604.0,58.0,546.0,36.0,22.0,0.0,1
