,TOTAL SHOT (Not Including Shooter),Number Killed [CALCULATED],Number Injured,Females Killed,Males Killed,Children Killed (17 and Under),idx
0,4.0,124.0,0.0,46.0,78.0,15.0,31
1,5.0,66.0,9.0,27.0,39.0,8.0,15
2,6.0,30.0,6.0,14.0,16.0,3.0,6
3,7.0,12.0,2.0,6.0,6.0,0.0,2
4,8.0,29.0,11.0,13.0,16.0,2.0,5
5,9.0,15.0,3.0,7.0,8.0,0.0,2
6,10.0,12.0,8.0,1.0,11.0,2.0,2
7,11.0,12.0,10.0,7.0,5.0,0.0,2
8,12.0,5.0,7.0,0.0,5.0,0.0,1
9,15.0,16.0,14.0,3.0,13.0,0.0,2
10,17.0,13.0,4.0,11.0,2.0,0.0,1
11,18.0,9.0,9.0,3.0,6.0,0.0,1
12,19.0,6.0,13.0,3.0,3.0,1.0,1
13,27.0,9.0,18.0,0.0,9.0,0.0,1
14,36.0,14.0,22.0,5.0,9.0,0.0,1
15,45.0,13.0,32.0,3.0,10.0,0.0,1
16,82.0,12.0,70.0,4.0,8.0,1.0,1
17,102.0,49.0,53.0,7.0,42.0,0.0,1
18,604.0,58.0,546.0,36.0,22.0,0.0,1
